,,,,,,,,,,,,,,,,,
Theme: Population,,,,,,,,,,,,,,,,,
"Subject: Marital Status, Marriages and Divorces",,,,,,,,,,,,,,,,,
Topic: Total Divorces,,,,,,,,,,,,,,,,,
"Table Title: Divorce Rates, Annual",,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Data last updated: 26/07/2023,,,,,,,,,,,,,,,,,
Source: SINGAPORE DEPARTMENT OF STATISTICS,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Data Series,Male General Divorce Rate ,Male General Divorce Rate -> 20 - 24 Years ,Male General Divorce Rate -> 25 - 29 Years ,Male General Divorce Rate -> 30 - 34 Years ,Male General Divorce Rate -> 35 - 39 Years ,Male General Divorce Rate -> 40 - 44 Years ,Male General Divorce Rate -> 45 - 49 Years ,Male General Divorce Rate -> 50 Years And Over ,Female General Divorce Rate ,Female General Divorce Rate -> 20 - 24 Years ,Female General Divorce Rate -> 25 - 29 Years ,Female General Divorce Rate -> 30 - 34 Years ,Female General Divorce Rate -> 35 - 39 Years ,Female General Divorce Rate -> 40 - 44 Years ,Female General Divorce Rate -> 45 - 49 Years ,Female General Divorce Rate -> 50 Years And Over ,Crude Divorce Rate 
  1983,4.3,8.6,9.1,7.3,5.5,3.9,3,0.8,4.3,10.9,8.2,6,4.1,2.5,1.5,0.5,1
  1982,4.3,8,8.7,7.6,5.7,3.8,3.1,0.9,4.3,9.8,8.9,6,4.5,2.6,1,0.6,0.9
  1981,4.3,6.6,9.1,7.4,5.9,4.1,2.9,0.9,4.3,9.5,8.6,5.9,4,2.9,1.4,0.5,0.9
  1980,3.7,5.9,6.9,6.5,4.4,3.8,2.1,0.8,3.8,7.6,6.9,5.5,3.5,2.2,1,0.5,0.8
,,,,,,,,,,,,,,,,,
Footnotes:,,,,,,,,,,,,,,,,,
Data include annulments.,,,,,,,,,,,,,,,,,
"Male General Divorce Rate (Per 1,000 Married Resident Males/Females Aged 20 Years & Over):",,,,,,,,,,,,,,,,,
"From 2004 onwards, data are based on divorces and annulments where the male spouses are residents (i.e Singapore citizens or permanent residents). ",,,,,,,,,,,,,,,,,
"Male General Divorce Rate -> 20 - 24 Years (Per 1,000 Married Resident Males):",,,,,,,,,,,,,,,,,
"From 2004 onwards, data are based on divorces and annulments where the male spouses are residents (i.e Singapore citizens or permanent residents). ",,,,,,,,,,,,,,,,,
"Male General Divorce Rate -> 25 - 29 Years (Per 1,000 Married Resident Males):",,,,,,,,,,,,,,,,,
"From 2004 onwards, data are based on divorces and annulments where the male spouses are residents (i.e Singapore citizens or permanent residents). ",,,,,,,,,,,,,,,,,
"Male General Divorce Rate -> 30 - 34 Years (Per 1,000 Married Resident Males):",,,,,,,,,,,,,,,,,
"From 2004 onwards, data are based on divorces and annulments where the male spouses are residents (i.e Singapore citizens or permanent residents). ",,,,,,,,,,,,,,,,,
"Male General Divorce Rate -> 35 - 39 Years (Per 1,000 Married Resident Males):",,,,,,,,,,,,,,,,,
"From 2004 onwards, data are based on divorces and annulments where the male spouses are residents (i.e Singapore citizens or permanent residents). ",,,,,,,,,,,,,,,,,
"Male General Divorce Rate -> 40 - 44 Years (Per 1,000 Married Resident Males):",,,,,,,,,,,,,,,,,
"From 2004 onwards, data are based on divorces and annulments where the male spouses are residents (i.e Singapore citizens or permanent residents). ",,,,,,,,,,,,,,,,,
"Male General Divorce Rate -> 45 - 49 Years (Per 1,000 Married Resident Males):",,,,,,,,,,,,,,,,,
"From 2004 onwards, data are based on divorces and annulments where the male spouses are residents (i.e Singapore citizens or permanent residents). ",,,,,,,,,,,,,,,,,
"Male General Divorce Rate -> 50 Years And Over (Per 1,000 Married Resident Males):",,,,,,,,,,,,,,,,,
"From 2004 onwards, data are based on divorces and annulments where the male spouses are residents (i.e Singapore citizens or permanent residents). ",,,,,,,,,,,,,,,,,
"Female General Divorce Rate (Per 1,000 Married Resident Males/Females Aged 20 Years & Over):",,,,,,,,,,,,,,,,,
"From 2004 onwards, data are based on divorces and annulments where the female spouses are residents (i.e Singapore citizens or permanent residents). ",,,,,,,,,,,,,,,,,
"Female General Divorce Rate -> 20 - 24 Years (Per 1,000 Married Resident Females):",,,,,,,,,,,,,,,,,
"From 2004 onwards, data are based on divorces and annulments where the female spouses are residents (i.e Singapore citizens or permanent residents). ",,,,,,,,,,,,,,,,,
"Female General Divorce Rate -> 25 - 29 Years (Per 1,000 Married Resident Females):",,,,,,,,,,,,,,,,,
"From 2004 onwards, data are based on divorces and annulments where the female spouses are residents (i.e Singapore citizens or permanent residents). ",,,,,,,,,,,,,,,,,
"Female General Divorce Rate -> 30 - 34 Years (Per 1,000 Married Resident Females):",,,,,,,,,,,,,,,,,
"From 2004 onwards, data are based on divorces and annulments where the female spouses are residents (i.e Singapore citizens or permanent residents). ",,,,,,,,,,,,,,,,,
"Female General Divorce Rate -> 35 - 39 Years (Per 1,000 Married Resident Females):",,,,,,,,,,,,,,,,,
"From 2004 onwards, data are based on divorces and annulments where the female spouses are residents (i.e Singapore citizens or permanent residents). ",,,,,,,,,,,,,,,,,
"Female General Divorce Rate -> 40 - 44 Years (Per 1,000 Married Resident Females):",,,,,,,,,,,,,,,,,
"From 2004 onwards, data are based on divorces and annulments where the female spouses are residents (i.e Singapore citizens or permanent residents). ",,,,,,,,,,,,,,,,,
"Female General Divorce Rate -> 45 - 49 Years (Per 1,000 Married Resident Females):",,,,,,,,,,,,,,,,,
"From 2004 onwards, data are based on divorces and annulments where the female spouses are residents (i.e Singapore citizens or permanent residents). ",,,,,,,,,,,,,,,,,
"Female General Divorce Rate -> 50 Years And Over (Per 1,000 Married Resident Females):",,,,,,,,,,,,,,,,,
"From 2004 onwards, data are based on divorces and annulments where the female spouses are residents (i.e Singapore citizens or permanent residents). ",,,,,,,,,,,,,,,,,
"Crude Divorce Rate (Per 1,000 Residents):",,,,,,,,,,,,,,,,,
"From 2004 onwards, data are based on divorces and annulments where either or both spouses are residents (i.e Singapore citizens or permanent residents). ",,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Definitions,,,,,,,,,,,,,,,,,
Crude Divorce Rate:,,,,,,,,,,,,,,,,,
Crude divorce rate refers to the number of divorces and annulments granted in the year per thousand population.,,,,,,,,,,,,,,,,,
General Divorce Rate:,,,,,,,,,,,,,,,,,
"General divorce rate refers to the number of divorces and annulments granted to married persons aged 20 years and over during the year, out of every thousand married persons in the same age group.",,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Notation:,,,,,,,,,,,,,,,,,
na   not available or not applicable,,,,,,,,,,,,,,,,,
nec  not elsewhere classified,,,,,,,,,,,,,,,,,
nes  not elsewhere specified,,,,,,,,,,,,,,,,,
 -     nil or negligible or not significant,,,,,,,,,,,,,,,,,
Notes,,,,,,,,,,,,,,,,,
Numbers may not add up to the totals due to rounding.,,,,,,,,,,,,,,,,,
"Data are the latest available at the time of access or download. Some statistics, particularly those for the most recent time periods, are provisional and may be subject to revision at a later date.",,,,,,,,,,,,,,,,,
Values are shown in Singapore dollars (unless otherwise specified).,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Generated by: SingStat Table Builder,,,,,,,,,,,,,,,,,
Date generated: 17/05/2024,,,,,,,,,,,,,,,,,
Contact: info@singstat.gov.sg,,,,,,,,,,,,,,,,,
