,,,,,,,,,,,,,,,,,,,,,,,,,
Theme: Population,,,,,,,,,,,,,,,,,,,,,,,,,
"Subject: Marital Status, Marriages and Divorces",,,,,,,,,,,,,,,,,,,,,,,,,
Topic: Total Marriages,,,,,,,,,,,,,,,,,,,,,,,,,
"Table Title: Marriage Rates, Annual",,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
Data last updated: 26/07/2023,,,,,,,,,,,,,,,,,,,,,,,,,
Source: SINGAPORE DEPARTMENT OF STATISTICS,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
Data Series,Male General Marriage Rate ,Male General Marriage Rate -> 15 - 19 Years ,Male General Marriage Rate -> 20 - 24 Years ,Male General Marriage Rate -> 25 - 29 Years ,Male General Marriage Rate -> 30 - 34 Years ,Male General Marriage Rate -> 35 - 39 Years ,Male General Marriage Rate -> 40 - 44 Years ,Male General Marriage Rate -> 45 - 49 Years ,Male General Marriage Rate -> 50 - 54 Years ,Male General Marriage Rate -> 55 - 59 Years ,Male General Marriage Rate -> 60 - 64 Years ,Male General Marriage Rate -> 65 Years & Over ,Female General Marriage Rate ,Female General Marriage Rate -> 15 - 19 Years ,Female General Marriage Rate -> 20 - 24 Years ,Female General Marriage Rate -> 25 - 29 Years ,Female General Marriage Rate -> 30 - 34 Years ,Female General Marriage Rate -> 35 - 39 Years ,Female General Marriage Rate -> 40 - 44 Years ,Female General Marriage Rate -> 45 - 49 Years ,Female General Marriage Rate -> 50 - 54 Years ,Female General Marriage Rate -> 55 - 59 Years ,Female General Marriage Rate -> 60 - 64 Years ,Female General Marriage Rate -> 65 Years & Over ,Crude Marriage Rate 
  2012,43.8,0.6,12.2,77.8,117.8,96.5,65.2,39.8,27,21,15.6,5.1,39.4,2.3,24.4,106.7,96.2,43.2,21,10.5,5.7,2.7,1.3,0.2,6.7
  2011,43.5,0.7,11.1,79.6,117.9,89.2,58.5,41.2,30.1,23.3,17.5,4.2,39.2,2.4,23.5,108,96,42.4,20.7,10.2,6.1,2.3,1.3,0.1,6.7
  2010,39.3,0.7,11.7,71.8,102.7,77.9,52.1,36.7,23.8,19.8,12.8,2.9,35.3,2.8,22.6,99,81,36.3,16.2,10.4,5.5,2.2,0.9,0.2,6.1
  2009,43.4,0.8,12.7,79.5,112.1,92,55.9,40.6,26.5,20.7,14.7,4.5,38.9,2.6,26.9,108.5,88.2,39.2,17.3,10.1,5.5,2.7,1,0.1,6.6
  2008,43.5,0.9,14.4,83,111.8,84.9,58.5,37,25,22,13.1,3.7,39.6,3.1,30.9,114.5,79.8,38.8,18.7,9.6,4.3,2.3,1,0.2,6.5
  2007,43.5,0.9,15.9,82,112.7,83.7,55.9,38.6,25,22.8,14.6,3.2,40.1,3.8,34,111.5,84.2,39.7,18.3,9,4.4,1.5,0.7,0.2,6.4
  2006,43.7,1,16.7,84.4,108.3,84.8,48.4,37.8,28.2,19.3,16.1,4.3,40,3.9,37.4,110.4,78.9,33.5,17.5,8.3,4.3,2.2,0.8,0.2,6.5
  2005,43.8,1,17.4,85.3,106.1,78.1,54.8,39.2,30.1,21.6,13.5,4.8,39,4.6,38.5,114.1,70.6,32.1,15,9.1,4.3,2.1,1.1,0.1,6.4
  2004,44,1.1,19,85.9,108.2,80.4,48.9,31.4,27.4,18.2,10.4,3,41.2,5,43.3,111.2,75.9,34.1,16.4,8.9,4.1,2.2,0.6,0.2,6.3
  2003,44.9,1.2,18.7,96.2,107.4,64.4,41.7,29.3,21.5,16.9,7.5,2.2,43.7,5.3,45.9,126,75.1,29.2,15.9,8.9,3.4,2.1,0.5,0,6.3
  2002,47.5,1.5,20.5,101.1,104.4,70.7,42.5,30.8,17.8,19.1,10.8,2.5,45.8,6.3,50.1,125.6,75.2,32.9,14.1,7.9,3.4,2.2,0.6,0.1,6.6
  2001,46.7,1.8,22,98.5,104.3,73.3,44.8,30.3,23.2,16.5,10.5,3.2,44.1,6.9,51.5,122.8,70.2,33.4,14.8,7.4,3.4,1.8,1,0.1,6.5
  2000,47.4,1.7,23.7,104,98.3,64.5,43.8,30.9,21,15.5,12.1,3,46.8,7.4,54.3,133,69.8,32.4,17.2,8.2,4.2,1.6,0.8,0.2,6.7
  1999,54.7,1.4,28.8,118.3,110.2,71.1,49.8,36.6,30.9,18.1,10.4,2.8,54.8,7.2,66.3,151,84.8,38.4,18,9.7,4.6,1.7,1.1,0.1,7.8
  1998,49.4,1.3,26.9,100.5,101.5,67.2,49.4,32.9,25.9,18,10.2,2.5,47.9,7.6,58.7,123.9,70.5,34.6,16.8,8.5,5,1.3,0.7,0.1,7.1
  1997,56.7,1.2,33.2,119.1,110.7,77.2,47.4,35.5,25.9,14.7,10.9,3.1,58.4,6.6,75.2,149.1,82.2,40.1,19.6,9.9,5.3,1.6,0.9,0.2,8.1
  1996,53.2,1.5,28,110.1,113.4,72.2,52,34.6,21.9,13.8,8,2.9,52.6,7,65.4,137.3,74,35.7,19,8.2,3.6,1.3,0.7,0.1,7.7
  1995,54.6,1.2,29.3,113.1,108,70.8,54.8,35.2,19,16.6,11.1,3.2,54.9,7.5,70.1,135.7,76.5,37.3,16.9,8.3,3.3,2.6,0.6,0.1,8.1
  1994,54.7,1.4,29.5,107.9,110.7,77.9,55.8,39,23.6,18.4,9,2.4,56.1,7.9,71,134.2,77.6,38.8,16.7,9.9,3.2,1.3,0.4,0.2,8.2
  1993,55.3,1.6,29.4,108.3,106.1,78.5,52.7,40.2,26.9,23.2,9.7,3.3,57.4,8.8,72,132.8,74.5,38.3,17.9,10.9,3.3,1.5,0.6,0.1,8.6
  1992,56.7,1.3,32.5,113.7,108.9,79.5,50.4,38.5,25.6,14.4,7.7,2.3,59,10.1,78.8,133.5,74.4,36.7,17.5,9.2,3.7,1.2,0.4,0.1,8.9
  1991,55.5,1.4,35.4,109.4,107.6,77.5,51.2,33.9,22.7,13.6,9.1,3,61.5,10.8,84.7,138,76.4,37.4,15.6,8.8,3.8,1.3,0.6,0.1,8.7
  1990,52.2,1.2,35.1,107.6,96.4,68.5,41.6,28.3,18.1,10.1,6.3,1.8,59.2,11,84.8,133,69.1,36.6,14.7,6.7,3.6,0.8,0.3,0.1,8.6
  1989,52.6,1,37.9,100.7,100.4,75.1,62.1,42,32.7,16.1,8.2,2.5,60.1,10.7,88.5,114.4,76.7,35.8,20.3,8.6,3.4,0.9,0.7,0.1,8.7
  1988,56,0.8,38.8,112.1,111.7,77.1,59.5,32.5,24.6,13.9,12.9,2.2,65.3,10.8,94.6,130.2,76.7,38.1,20.7,7.9,3.6,1.2,0.6,0.2,9.3
  1987,53.3,1,37.9,104.1,107.8,87.7,61.1,45.9,31,13.2,9.3,2.6,62.3,11.9,87.9,124.3,74.3,37.8,19.3,9.2,2.8,0.9,0.8,0.1,8.9
  1986,45.6,1,35.8,87.3,92.5,70.4,60.6,37.7,21.1,20.1,10.2,2.2,52.6,12.4,77.5,94.1,59.2,31.9,17.3,9.3,3.7,0.9,0.4,0.1,7.7
  1985,54.3,1.2,43.8,110.3,109.8,83.2,54.5,45.8,17.3,12.4,9,2.1,62.5,15.2,95.5,111.8,62.6,33.4,18.5,7.2,3.3,1.1,0.2,0.1,9.2
  1984,57.7,1.5,44.7,122.2,130.7,103.3,65.1,48.3,26.6,17,11.7,1.9,66.3,15.6,101.6,124.3,68.1,41.3,16.7,8.4,2.8,1.2,0.6,0.1,9.8
  1983,46.9,1.4,38.8,104.9,112.1,84.8,59.4,46,24.1,15.4,4.1,na,56.4,15.7,85.1,104.5,63.6,36.8,19.1,9.6,3.3,1.5,0.2,na,9
  1982,54.5,1.6,46,126.3,131.2,122.2,87.3,58.9,31.1,28.7,5.8,na,63.9,17.2,100.4,119.5,75.9,47.8,23.7,11.3,3,1.9,0.3,na,9.7
  1981,58.4,1.6,51.8,138,143.8,123.3,94.6,60.4,38.8,34.2,6.7,na,68.7,17.8,109.5,139.7,77.7,50.1,26.2,14.4,3.8,3.2,0.2,na,10.6
  1980,54.9,1.7,49.9,140.1,138,106.3,62.8,42.3,25.8,18.6,4.7,na,67.3,18.4,110.5,136.5,74.3,43.6,22,9.2,2.6,2.1,0.3,na,9.8
,,,,,,,,,,,,,,,,,,,,,,,,,
Footnotes:,,,,,,,,,,,,,,,,,,,,,,,,,
"Male General Marriage Rate (Per 1,000 Unmarried Resident Males/Females Aged 15-49 Years):",,,,,,,,,,,,,,,,,,,,,,,,,
"Prior to 1984, data are based on total grooms and total population.  From 1984 onwards, data are based on resident grooms and resident population (i.e. Singapore citizens and permanent residents).",,,,,,,,,,,,,,,,,,,,,,,,,
"Male General Marriage Rate -> 15 - 19 Years (Per 1,000 Unmarried Resident Males):",,,,,,,,,,,,,,,,,,,,,,,,,
"Prior to 1984, data are based on total grooms and total population.  From 1984 onwards, data are based on resident grooms and resident population (i.e. Singapore citizens and permanent residents).",,,,,,,,,,,,,,,,,,,,,,,,,
"Male General Marriage Rate -> 20 - 24 Years (Per 1,000 Unmarried Resident Males):",,,,,,,,,,,,,,,,,,,,,,,,,
"Prior to 1984, data are based on total grooms and total population.  From 1984 onwards, data are based on resident grooms and resident population (i.e. Singapore citizens and permanent residents).",,,,,,,,,,,,,,,,,,,,,,,,,
"Male General Marriage Rate -> 25 - 29 Years (Per 1,000 Unmarried Resident Males):",,,,,,,,,,,,,,,,,,,,,,,,,
"Prior to 1984, data are based on total grooms and total population.  From 1984 onwards, data are based on resident grooms and resident population (i.e. Singapore citizens and permanent residents).",,,,,,,,,,,,,,,,,,,,,,,,,
"Male General Marriage Rate -> 30 - 34 Years (Per 1,000 Unmarried Resident Males):",,,,,,,,,,,,,,,,,,,,,,,,,
"Prior to 1984, data are based on total grooms and total population.  From 1984 onwards, data are based on resident grooms and resident population (i.e. Singapore citizens and permanent residents).",,,,,,,,,,,,,,,,,,,,,,,,,
"Male General Marriage Rate -> 35 - 39 Years (Per 1,000 Unmarried Resident Males):",,,,,,,,,,,,,,,,,,,,,,,,,
"Prior to 1984, data are based on total grooms and total population.  From 1984 onwards, data are based on resident grooms and resident population (i.e. Singapore citizens and permanent residents).",,,,,,,,,,,,,,,,,,,,,,,,,
"Male General Marriage Rate -> 40 - 44 Years (Per 1,000 Unmarried Resident Males):",,,,,,,,,,,,,,,,,,,,,,,,,
"Prior to 1984, data are based on total grooms and total population.  From 1984 onwards, data are based on resident grooms and resident population (i.e. Singapore citizens and permanent residents).",,,,,,,,,,,,,,,,,,,,,,,,,
"Male General Marriage Rate -> 45 - 49 Years (Per 1,000 Unmarried Resident Males):",,,,,,,,,,,,,,,,,,,,,,,,,
"Prior to 1984, data are based on total grooms and total population.  From 1984 onwards, data are based on resident grooms and resident population (i.e. Singapore citizens and permanent residents).",,,,,,,,,,,,,,,,,,,,,,,,,
"Male General Marriage Rate -> 50 - 54 Years (Per 1,000 Unmarried Resident Males):",,,,,,,,,,,,,,,,,,,,,,,,,
"Prior to 1984, data are based on total grooms and total population.  From 1984 onwards, data are based on resident grooms and resident population (i.e. Singapore citizens and permanent residents).",,,,,,,,,,,,,,,,,,,,,,,,,
"Male General Marriage Rate -> 55 - 59 Years (Per 1,000 Unmarried Resident Males):",,,,,,,,,,,,,,,,,,,,,,,,,
"Prior to 1984, data are based on total grooms and total population.  From 1984 onwards, data are based on resident grooms and resident population (i.e. Singapore citizens and permanent residents).",,,,,,,,,,,,,,,,,,,,,,,,,
"Male General Marriage Rate -> 60 - 64 Years (Per 1,000 Unmarried Resident Males):",,,,,,,,,,,,,,,,,,,,,,,,,
"Prior to 1984, data are based on total grooms and total population and refer to age group 60 & over.  From 1984 onwards, data are based on resident grooms and resident population (i.e. Singapore citizens and permanent residents).",,,,,,,,,,,,,,,,,,,,,,,,,
"Male General Marriage Rate -> 65 Years & Over (Per 1,000 Unmarried Resident Males):",,,,,,,,,,,,,,,,,,,,,,,,,
Data are based on resident grooms and resident population (i.e. Singapore citizens and permanent residents).,,,,,,,,,,,,,,,,,,,,,,,,,
"Female General Marriage Rate (Per 1,000 Unmarried Resident Males/Females Aged 15-49 Years):",,,,,,,,,,,,,,,,,,,,,,,,,
"Prior to 1984, data are based on total brides and total population.  From 1984 onwards, data are based on resident brides and resident population (i.e. Singapore citizens and permanent residents).",,,,,,,,,,,,,,,,,,,,,,,,,
"Female General Marriage Rate -> 15 - 19 Years (Per 1,000 Unmarried Resident Females):",,,,,,,,,,,,,,,,,,,,,,,,,
"Prior to 1984, data are based on total brides and total population.  From 1984 onwards, data are based on resident brides and resident population (i.e. Singapore citizens and permanent residents).",,,,,,,,,,,,,,,,,,,,,,,,,
"Female General Marriage Rate -> 20 - 24 Years (Per 1,000 Unmarried Resident Females):",,,,,,,,,,,,,,,,,,,,,,,,,
"Prior to 1984, data are based on total brides and total population.  From 1984 onwards, data are based on resident brides and resident population (i.e. Singapore citizens and permanent residents).",,,,,,,,,,,,,,,,,,,,,,,,,
"Female General Marriage Rate -> 25 - 29 Years (Per 1,000 Unmarried Resident Females):",,,,,,,,,,,,,,,,,,,,,,,,,
"Prior to 1984, data are based on total brides and total population.  From 1984 onwards, data are based on resident brides and resident population (i.e. Singapore citizens and permanent residents).",,,,,,,,,,,,,,,,,,,,,,,,,
"Female General Marriage Rate -> 30 - 34 Years (Per 1,000 Unmarried Resident Females):",,,,,,,,,,,,,,,,,,,,,,,,,
"Prior to 1984, data are based on total brides and total population.  From 1984 onwards, data are based on resident brides and resident population (i.e. Singapore citizens and permanent residents).",,,,,,,,,,,,,,,,,,,,,,,,,
"Female General Marriage Rate -> 35 - 39 Years (Per 1,000 Unmarried Resident Females):",,,,,,,,,,,,,,,,,,,,,,,,,
"Prior to 1984, data are based on total brides and total population.  From 1984 onwards, data are based on resident brides and resident population (i.e. Singapore citizens and permanent residents).",,,,,,,,,,,,,,,,,,,,,,,,,
"Female General Marriage Rate -> 40 - 44 Years (Per 1,000 Unmarried Resident Females):",,,,,,,,,,,,,,,,,,,,,,,,,
"Prior to 1984, data are based on total brides and total population.  From 1984 onwards, data are based on resident brides and resident population (i.e. Singapore citizens and permanent residents).",,,,,,,,,,,,,,,,,,,,,,,,,
"Female General Marriage Rate -> 45 - 49 Years (Per 1,000 Unmarried Resident Females):",,,,,,,,,,,,,,,,,,,,,,,,,
"Prior to 1984, data are based on total brides and total population.  From 1984 onwards, data are based on resident brides and resident population (i.e. Singapore citizens and permanent residents).",,,,,,,,,,,,,,,,,,,,,,,,,
"Female General Marriage Rate -> 50 - 54 Years (Per 1,000 Unmarried Resident Females):",,,,,,,,,,,,,,,,,,,,,,,,,
"Prior to 1984, data are based on total brides and total population.  From 1984 onwards, data are based on resident brides and resident population (i.e. Singapore citizens and permanent residents).",,,,,,,,,,,,,,,,,,,,,,,,,
"Female General Marriage Rate -> 55 - 59 Years (Per 1,000 Unmarried Resident Females):",,,,,,,,,,,,,,,,,,,,,,,,,
"Prior to 1984, data are based on total brides and total population.  From 1984 onwards, data are based on resident brides and resident population (i.e. Singapore citizens and permanent residents).",,,,,,,,,,,,,,,,,,,,,,,,,
"Female General Marriage Rate -> 60 - 64 Years (Per 1,000 Unmarried Resident Females):",,,,,,,,,,,,,,,,,,,,,,,,,
"Prior to 1984, data are based on total brides and total population and refer to age group 60 & over.  From 1984 onwards, data are based on resident brides and resident population (i.e. Singapore citizens and permanent residents).",,,,,,,,,,,,,,,,,,,,,,,,,
"Female General Marriage Rate -> 65 Years & Over (Per 1,000 Unmarried Resident Females):",,,,,,,,,,,,,,,,,,,,,,,,,
Data are based on resident brides and resident population (i.e. Singapore citizens and permanent residents).,,,,,,,,,,,,,,,,,,,,,,,,,
"Crude Marriage Rate (Per 1,000 Residents):",,,,,,,,,,,,,,,,,,,,,,,,,
"Prior to 1984, data are based on total marriages.  From 1984 onwards, data are based on resident marriages where either or both the groom and bride are residents (i.e. Singapore citizens and permanent residents).",,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
Definitions,,,,,,,,,,,,,,,,,,,,,,,,,
Crude Marriage Rate:,,,,,,,,,,,,,,,,,,,,,,,,,
Crude marriage rate refers to the number of marriages registered in the year per thousand population.,,,,,,,,,,,,,,,,,,,,,,,,,
General Marriage Rate:,,,,,,,,,,,,,,,,,,,,,,,,,
"General marriage rate refers to the number of marriages registered among persons aged 15-49 years during the year, out of every thousand unmarried persons in the same age group.",,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
Notation:,,,,,,,,,,,,,,,,,,,,,,,,,
na   not available or not applicable,,,,,,,,,,,,,,,,,,,,,,,,,
nec  not elsewhere classified,,,,,,,,,,,,,,,,,,,,,,,,,
nes  not elsewhere specified,,,,,,,,,,,,,,,,,,,,,,,,,
 -     nil or negligible or not significant,,,,,,,,,,,,,,,,,,,,,,,,,
Notes,,,,,,,,,,,,,,,,,,,,,,,,,
Numbers may not add up to the totals due to rounding.,,,,,,,,,,,,,,,,,,,,,,,,,
"Data are the latest available at the time of access or download. Some statistics, particularly those for the most recent time periods, are provisional and may be subject to revision at a later date.",,,,,,,,,,,,,,,,,,,,,,,,,
Values are shown in Singapore dollars (unless otherwise specified).,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
Generated by: SingStat Table Builder,,,,,,,,,,,,,,,,,,,,,,,,,
Date generated: 17/05/2024,,,,,,,,,,,,,,,,,,,,,,,,,
Contact: info@singstat.gov.sg,,,,,,,,,,,,,,,,,,,,,,,,,
